Unique_Id_Transaction,Id_ Clients,ItemQty,ItemPrice,Date,Item_Name,Customer_Type, avg_sales_amount,Avg_convertion_Rate, avg_QTY,avg_T
100,5001,4,281,02/04/2017,Nike Phantom GX Academy Dynamic Fit MG By You,Sporty,53.18,53.18,6.35,50.67
101,5002,4,208,02/04/2017,Nike Air Force 1 Low By Sierra Canyon,Sporty,51.01,51.01,0.41,48.52
102,5004,3,193,02/04/2017,Nike Air Force 1 High Unlocked By Chloe Kim ,Sporty,45.35,45.35,0.18,45.25
103,5021,3,195,02/04/2017,Nike Gripknit Phantom GX Elite Dynamic Fit AG By You,Sporty,47.68,47.68,0.4,46.88
104,5030,3,150,02/04/2017,Converse Custom Chuck Taylor All Star High Top,Sporty,51.28,51.28,0.28,49.01
105,5031,6,345,02/04/2017,Nike Air Max 95 Unlocked By You,Sporty,49.04,49.04,0.32,49.06
106,5034,1,189,02/04/2017,Nike Air Huarache By You Valentine's Day,Sporty,50.86,50.86,1.82,49.18
107,5036,4,338,02/04/2017,Nike Air Huarache By You,Sporty,47.27,47.27,0.18,44.15
108,5038,6,235,02/04/2017,Nike Air Force 1 High Unlocked By You,Sporty,43.21,43.21,23.28,40.17
109,5040,5,295,02/04/2017,Nike Air Max 90 By You,Sporty,43.21,43.21,3.91,39.74
110,5042,5,322,02/04/2017,Nike Air Max 90 Unlocked By You,Sporty,49.8,49.8,29.37,47.11
111,5044,4,340,02/04/2017,Nike Air Force 1 High By You,Sporty,45.55,45.55,0.52,43.56
112,5045,4,231,3/20/2018,Nike Air Force 1 Mid By You Valentine's Day,Sporty,49.59,49.59,40.8,47.21
113,5051,1,173,3/20/2018,Nike Pegasus 39 By You,Sporty,44.98,44.98,35.63,43.31
114,5055,2,164,3/20/2018,Nike Air Force 1 Low Unlocked By You,Sporty,46.91,46.91,0.66,44.5
115,5059,4,379,3/20/2018,Nike Air Force 1 Low By You,Sporty,52.44,52.44,3.91,52
116,5079,3,290,3/20/2018,Nike Air Force 1 Low By Bishop Gorman,Sporty,51.46,51.46,3.99,48.89
117,5086,2,252,3/20/2018,Nike Gripknit Phantom GX Elite FG By You,Sporty,49.56,49.56,20.79,46.97
118,5088,2,226,3/20/2018,Nike Air Force 1 Low By You,Sporty,53.2,53.2,7.65,50.73
119,5091,4,224,3/20/2018,Nike Zoom Mercurial Superfly 9 Elite FG By You,Sporty,49.75,49.75,2.98,48.03
120,5093,4,280,3/20/2018,Nike Blazer Low '77 By You,Sporty,45.62,45.62,3.04,42.69
121,5101,6,304,3/20/2018,Nike Air Force 1 Mid By You Valentine's Day ,Sporty,50.13,50.13,6.19,48.53
122,5107,4,178,3/20/2018,Nike Blazer Mid '77 By Ameena,Sporty,49.46,49.46,11.82,47.54
123,5113,4,180,3/20/2018,Nike Air Force 1 Low By Duncanville,Sporty,48.54,48.54,1.55,47.4
124,5001,4,349,3/20/2018,Nike Phantom GX Academy Dynamic Fit MG By You,Sporty,45.9,45.9,29.27,43.04
125,5001,5,181,3/20/2018,Nike Air Force 1 Low By Sierra Canyon,Sporty,45.24,45.24,8.58,41.96
126,5001,2,350,3/20/2018,Nike Air Force 1 High Unlocked By Chloe Kim ,Sporty,53.3,53.3,2.14,50.69
127,5001,6,324,3/20/2018,Nike Gripknit Phantom GX Elite Dynamic Fit AG By You,Sporty,47.05,47.05,0.59,44.97
128,5001,1,278,3/20/2018,Converse Custom Chuck Taylor All Star High Top,Healthy & Active,48.86,48.86,1.96,44.77
129,5001,5,144,3/20/2018,Nike Air Max 95 Unlocked By You,Healthy & Active,48.69,48.69,2.11,46.79
130,5001,4,315,3/20/2018,Nike Air Huarache By You Valentine's Day,Healthy & Active,47.62,47.62,0.3,45.51
131,5001,2,234,3/20/2018,Nike Air Huarache By You,Healthy & Active,49.74,49.74,33.75,48.38
132,5001,1,299,3/20/2018,Nike Air Force 1 High Unlocked By You,Healthy & Active,55.57,55.57,2.77,54.26
133,5001,5,338,3/20/2018,Nike Air Max 90 By You,Healthy & Active,52.75,52.75,0.59,51.25
134,5001,4,135,3/25/2018,Nike Air Max 90 Unlocked By You,Healthy & Active,50.45,50.45,10.96,49.77
135,5001,5,168,3/25/2018,Nike Air Force 1 High By You,Healthy & Active,49.33,49.33,41.62,48.06
136,5001,4,284,3/25/2018,Nike Air Force 1 Mid By You Valentine's Day,Healthy & Active,52.96,52.96,1.25,52.1
137,5001,6,310,3/25/2018,Nike Pegasus 39 By You,Healthy & Active,49.7,49.7,0.28,47.39
138,5001,3,379,3/25/2018,Nike Air Force 1 Low Unlocked By You,Healthy & Active,48.22,48.22,0.5,47.88
139,5001,3,291,3/25/2018,Nike Air Force 1 Low By You,Healthy & Active,46.57,46.57,0.5,45.02
140,5001,1,146,3/25/2018,Nike Air Force 1 Low By Bishop Gorman,Healthy & Active,54.73,54.73,0.3,53.02
141,5001,2,200,3/25/2018,Nike Gripknit Phantom GX Elite FG By You,Healthy & Active,44.98,44.98,15.13,42.08
142,5001,3,274,3/25/2018,Nike Air Force 1 Low By You,Healthy & Active,52.58,52.58,0.28,51.47
143,5240,5,161,3/25/2018,Nike Zoom Mercurial Superfly 9 Elite FG By You,Healthy & Active,47.73,47.73,0.41,45.52
144,5250,4,204,3/25/2018,Nike Blazer Low '77 By You,Healthy & Active,46.64,46.64,22.61,43.6
145,5264,6,293,3/25/2018,Nike Air Force 1 Mid By You Valentine's Day ,Healthy & Active,51.5,51.5,6.84,50.5
146,5266,5,309,3/25/2018,Nike Blazer Mid '77 By Ameena,Healthy & Active,57.94,57.94,3.05,57.42
147,5282,6,269,3/25/2018,Nike Air Force 1 Low By Duncanville,Healthy & Active,48.93,48.93,0.35,44.51
148,5284,4,125,3/25/2018,Nike Phantom GX Academy Dynamic Fit MG By You,Healthy & Active,51.58,51.58,11.41,48.91
149,5306,3,118,3/25/2018,Nike Air Force 1 Low By Sierra Canyon,Healthy & Active,47.15,47.15,0.22,42.4
150,5308,1,330,3/25/2018,Nike Air Force 1 High Unlocked By Chloe Kim ,Healthy & Active,54.82,54.82,71.47,51.81
151,5310,1,123,3/25/2018,Nike Gripknit Phantom GX Elite Dynamic Fit AG By You,Healthy & Active,48.95,48.95,25.85,49.56
152,5313,5,247,3/25/2018,Converse Custom Chuck Taylor All Star High Top,Healthy & Active,53.81,53.81,0.36,53.96
153,5315,3,201,3/25/2018,Nike Air Max 95 Unlocked By You,Healthy & Active,49.4,49.4,0.16,44.74
154,5318,6,206,3/25/2018,Nike Air Huarache By You Valentine's Day,Healthy & Active,53.28,53.28,0.36,53
155,5321,3,291,3/25/2018,Nike Air Huarache By You,Healthy & Active,55.01,55.01,0.03,53.73
156,5347,3,339,3/25/2018,Nike Air Force 1 High Unlocked By You,Healthy & Active,52.32,52.32,0.81,47.02
157,5353,5,123,3/25/2018,Nike Air Max 90 By You,Healthy & Active,56.11,56.11,7.5,50.34
158,5360,5,329,3/25/2018,Nike Air Max 90 Unlocked By You,Healthy & Active,54.44,54.44,6.1,51.47
159,5361,1,342,3/25/2018,Nike Air Force 1 High By You,Healthy & Active,45.88,45.88,4.09,42.74
160,5364,6,259,3/25/2018,Nike Air Force 1 Mid By You Valentine's Day,Healthy & Active,54.36,54.36,10.55,51.69
161,5368,2,164,3/25/2018,Nike Pegasus 39 By You,Healthy & Active,52.17,52.17,2.81,50.38
162,5376,3,128,3/25/2018,Nike Air Force 1 Low Unlocked By You,Healthy & Active,54.69,54.69,8.12,54.84
163,5380,5,163,3/25/2018,Nike Air Force 1 Low By You,Healthy & Active,55.72,55.72,2.84,53.62
164,5390,1,165,3/25/2018,Nike Air Force 1 Low By Bishop Gorman,Healthy & Active,47.92,47.92,56.1,45.07
165,5400,5,229,3/25/2018,Nike Gripknit Phantom GX Elite FG By You,Healthy & Active,52.24,52.24,0.39,51.69
166,5411,6,346,3/25/2018,Nike Air Force 1 Low By You,Healthy & Active,48.49,48.49,7.18,45.72
167,5425,2,116,3/25/2018,Nike Zoom Mercurial Superfly 9 Elite FG By You,Healthy & Active,53.15,53.15,0.25,51.68
168,5440,1,361,3/25/2018,Nike Blazer Low '77 By You,Healthy & Active,52.8,52.8,0.33,51.76
169,5467,6,251,3/25/2018,Nike Air Force 1 Mid By You Valentine's Day ,Healthy & Active,49.3,49.3,0.88,46.11
170,5475,5,308,3/25/2018,Nike Blazer Mid '77 By Ameena,Healthy & Active,43.4,43.4,85,40.07
171,5480,3,316,3/25/2018,Nike Air Force 1 Low By Duncanville,Healthy & Active,45.4,45.4,28.55,43.35
172,5483,1,168,3/25/2018,Nike Phantom GX Academy Dynamic Fit MG By You,Healthy & Active,46.19,46.19,0.65,41.81
173,5490,4,371,3/25/2018,Nike Air Force 1 Low By Sierra Canyon,Healthy & Active,44.38,44.38,62.21,42.35
174,5495,3,289,3/25/2018,Nike Air Force 1 High Unlocked By Chloe Kim ,Healthy & Active,45.66,45.66,35.84,42.88
175,5501,2,205,3/25/2018,Nike Gripknit Phantom GX Elite Dynamic Fit AG By You,Healthy & Active,44.47,44.47,2.03,42.25
176,5541,5,324,3/25/2018,Converse Custom Chuck Taylor All Star High Top,Healthy & Active,49.68,49.68,0.42,49.72
177,5543,2,313,3/25/2018,Nike Air Max 95 Unlocked By You,Healthy & Active,50.36,50.36,0.16,45.41
178,5576,4,235,3/25/2018,Nike Air Huarache By You Valentine's Day,Healthy & Active,47.66,47.66,8.07,44.2
179,5579,4,358,3/25/2018,Nike Air Huarache By You,Healthy & Active,47.27,47.27,13.04,44.17
180,5585,5,250,3/25/2018,Nike Air Force 1 High Unlocked By You,Healthy & Active,47.71,47.71,8.23,45.42
