Unique_Id_Transaction,Id_ Clients,ItemQty,ItemPrice,Date,Item_Name,Customer_Type, avg_sales_amount,Avg_convertion_Rate, avg_QTY,avg_Traffic,Traffic_Per_day,Tasa de mortalidad (x cada 1.000 habitantes),Índice de pobreza multidimensional - IPM,Tasa de mortalidad infantil en menores de 5 años ,Mortalidad por desnutrición en menores de 5 años,Población total,Penetración de banda ancha,Porcentaje de personas ocupadas formalmente con respecto a la población total,Densidad poblacional,Cobertura de energía eléctrica rural,Inversión - Salud,Inversión - Vivienda,Cobertura de vacunación DPT,Afiliados al SGSSS,Tasa de homicidios de mujeres (x cada 100.000 mujeres) ,Tasa de presuntos delitos sexuales (x cada 100.000 habitantes),Tasa de homicidios de hombres (x cada 100.000 hombres) ,Número acumulado de personas víctimas de minas antipersona
100,5001,4,281,02/04/2017,Nike Phantom GX Academy Dynamic Fit MG By You,Sporty,53.18,53.18,6.35,50.67,439,5.86,12.8,8.17,0.68,2653729,26.08,61.52,6857.18,100,1.04577E+12,1.04237E+11,97.1,2714267,3.04,45.56,43.15,36
101,5002,4,208,02/04/2017,Nike Air Force 1 Low By Sierra Canyon,Sporty,51.01,51.01,0.41,48.52,360,5.33,40.6,12.82,109.77,21246,121.93,16.96,42.75,99.11,13470695035,2800000,81.3,15497,10.64,93.77,51.04,5
102,5004,3,193,02/04/2017,Nike Air Force 1 High Unlocked By Chloe Kim ,Sporty,45.35,45.35,0.18,45.25,710,2.95,34.8,37.04,446.43,2864,4.9,12.96,9.77,91.24,1921690496,141078612,85.2,1708,0,,88.18,2
103,5021,3,195,02/04/2017,Nike Gripknit Phantom GX Elite Dynamic Fit AG By You,Sporty,47.68,47.68,0.4,46.88,330,4.5,31.9,50,,4920,4.77,14.14,32.58,97.45,3443256064,118749779,83.1,3468,0,58.22,58.11,10
104,5030,3,150,02/04/2017,Converse Custom Chuck Taylor All Star High Top,Sporty,51.28,51.28,0.28,49.01,640,4.97,22.9,3.22,,32762,9.41,17.45,385.44,99.59,12278463488,27806594,97.9,24394,6.8,13.44,26.54,0
105,5031,6,345,02/04/2017,Nike Air Max 95 Unlocked By You,Sporty,49.04,49.04,0.32,49.06,887,4.67,43.3,14.6,41.88,28357,4.43,12.16,23.17,93.83,15886291521,115990112,102.7,21071,9.28,89.88,69.73,28
106,5034,1,189,02/04/2017,Nike Air Huarache By You Valentine's Day,Sporty,50.86,50.86,1.82,49.18,396,5.93,40.1,12.35,,46289,7.58,8.82,103.09,99.65,29333520384,134133000,96.6,36873,4.41,56.25,97.7,0
107,5036,4,338,02/04/2017,Nike Air Huarache By You,Sporty,47.27,47.27,0.18,44.15,755,5.01,30.7,17.54,,6117,5.2,7.22,70.31,99.29,3512748546,35292125,79.1,4265,0,11.01,21.8,0
108,5038,6,235,02/04/2017,Nike Air Force 1 High Unlocked By You,Sporty,43.21,43.21,23.28,40.17,919,4.01,53.8,25.42,,12081,3.96,5.5,30.82,97.66,8845014016,93939814,86.1,9710,36.66,17.79,69.16,34
109,5040,5,295,02/04/2017,Nike Air Max 90 By You,Sporty,43.21,43.21,3.91,39.74,557,2.29,53.3,13.39,,20011,6.27,5.75,13.83,79.08,13692995584,21197071,106.1,16040,11.9,52.01,89.86,166
110,5042,5,322,02/04/2017,Nike Air Max 90 Unlocked By You,Sporty,49.8,49.8,29.37,47.11,1045,5.45,29.7,3.03,38.97,28279,10.97,29.86,56.67,95.65,17880154112,130159563,91,25872,8.23,88.98,206.78,8
111,5044,4,340,02/04/2017,Nike Air Force 1 High By You,Sporty,45.55,45.55,0.52,43.56,977,4.38,47.1,23.53,119.76,7508,3.25,7.29,29.33,97.18,5794218667,164783769,94.1,6642,56.15,13.19,124.44,7
